Label,Field,Transect,Sample_Sit,Easting,Northing,Latitude,Longitude
E-L-1,Twin Watershed - Eastside,1,Downslope,546121,5465316,"N49Ḟ 20' 19.760251""","W98Ḟ 21' 54.421229"""
E-M-1,Twin Watershed - Eastside,1,Midslope,546144,5465287,"N49Ḟ 20' 18.81496""","W98Ḟ 21' 53.293597"""
E-U-1,Twin Watershed - Eastside,1,Upslope,546167,5465258,"N49Ḟ 20' 17.869666""","W98Ḟ 21' 52.165977"""
E-L-2,Twin Watershed - Eastside,2,Downslope,546094,5465331,"N49Ḟ 20' 20.253303""","W98Ḟ 21' 55.752914"""
E-M-2,Twin Watershed - Eastside,2,Midslope,546110,5465229,"N49Ḟ 20' 16.946157""","W98Ḟ 21' 55.002541"""
E-U-2,Twin Watershed - Eastside,2,Upslope,546135,5465067,"N49Ḟ 20' 11.693739""","W98Ḟ 21' 53.831231"""
E-L-3,Twin Watershed - Eastside,3,Downslope,546089,5465340,"N49Ḟ 20' 20.546086""","W98Ḟ 21' 55.996933"""
E-M-3,Twin Watershed - Eastside,3,Midslope,546089,5465219,"N49Ḟ 20' 16.628067""","W98Ḟ 21' 56.047299"""
E-U-3,Twin Watershed - Eastside,3,Upslope,546092,5465070,"N49Ḟ 20' 11.802581""","W98Ḟ 21' 55.960663"""
E-L-4,Twin Watershed - Eastside,4,Downslope,546088,5465355,"N49Ḟ 20' 21.032063""","W98Ḟ 21' 56.040243"""
E-M-4,Twin Watershed - Eastside,4,Midslope,546056,5465233,"N49Ḟ 20' 17.090364""","W98Ḟ 21' 57.676694"""
E-U-4,Twin Watershed - Eastside,4,Upslope,546007,5465082,"N49Ḟ 20' 12.214244""","W98Ḟ 22' 0.16749"""
W-L-1,Twin Watershed - Westside,1,Downslope,546034,5465376,"N49Ḟ 20' 21.726729""","W98Ḟ 21' 58.70739"""
W-M-1,Twin Watershed - Westside,1,Midslope,546002,5465258,"N49Ḟ 20' 17.91454""","W98Ḟ 22' 0.342127"""
W-U-1,Twin Watershed - Westside,1,Upslope,545950,5465098,"N49Ḟ 20' 12.747795""","W98Ḟ 22' 2.98525"""
W-L-2,Twin Watershed - Westside,2,Downslope,546010,5465360,"N49Ḟ 20' 21.215162""","W98Ḟ 21' 59.903323"""
W-M-2,Twin Watershed - Westside,2,Midslope,545962,5465226,"N49Ḟ 20' 16.889224""","W98Ḟ 22' 2.337508"""
W-U-2,Twin Watershed - Westside,2,Upslope,545932,5465089,"N49Ḟ 20' 12.461252""","W98Ḟ 22' 3.880901"""
W-L-3,Twin Watershed - Westside,3,Downslope,546016,5465383,"N49Ḟ 20' 21.95828""","W98Ḟ 21' 59.596444"""
W-M-3,Twin Watershed - Westside,3,Midslope,545977,5465369,"N49Ḟ 20' 21.515542""","W98Ḟ 22' 1.534847"""
W-U-3,Twin Watershed - Westside,3,Upslope,545883,5465287,"N49Ḟ 20' 18.885835""","W98Ḟ 22' 6.226852"""
W-L-4,Twin Watershed - Westside,4,Downslope,546015,5465398,"N49Ḟ 20' 22.444257""","W98Ḟ 21' 59.639763"""
W-M-4,Twin Watershed - Westside,4,Midslope,545941,5465280,"N49Ḟ 20' 18.643457""","W98Ḟ 22' 3.355699"""
W-U-4,Twin Watershed - Westside,4,Upslope,545899,5465223,"N49Ḟ 20' 16.80916""","W98Ḟ 22' 5.460538"""
